06-10 20:35:43: Training starting...
06-10 20:35:45: New best reward 19.0 (-100.0%) at episode 0, saving model...
06-10 20:35:45: New best reward 50.0 (+163.2%) at episode 2, saving model...
06-10 20:35:45: New best reward 61.0 (+22.0%) at episode 36, saving model...
06-10 20:35:45: New best reward 63.0 (+3.3%) at episode 62, saving model...
06-10 20:35:46: New best reward 64.0 (+1.6%) at episode 206, saving model...
06-10 20:35:46: New best reward 78.0 (+21.9%) at episode 211, saving model...
06-10 20:35:47: New best reward 88.0 (+12.8%) at episode 367, saving model...
06-10 20:35:47: New best reward 131.0 (+48.9%) at episode 374, saving model...
06-10 20:35:49: New best reward 135.0 (+3.1%) at episode 634, saving model...
06-10 20:35:49: New best reward 152.0 (+12.6%) at episode 684, saving model...
06-10 20:35:50: New best reward 191.0 (+25.7%) at episode 735, saving model...
06-10 20:35:51: New best reward 228.0 (+19.4%) at episode 832, saving model...
06-10 20:35:52: New best reward 269.0 (+18.0%) at episode 895, saving model...
06-10 20:35:52: New best reward 276.0 (+2.6%) at episode 910, saving model...
06-10 20:35:52: New best reward 293.0 (+6.2%) at episode 924, saving model...
06-10 20:35:58: New best reward 349.0 (+19.1%) at episode 1240, saving model...
06-10 20:35:58: New best reward 402.0 (+15.2%) at episode 1257, saving model...
06-10 20:36:25: New best reward 418.0 (+4.0%) at episode 1930, saving model...
06-10 20:36:26: New best reward 537.0 (+28.5%) at episode 1944, saving model...
06-10 20:36:28: New best reward 548.0 (+2.0%) at episode 1966, saving model...
06-10 20:36:31: New best reward 563.0 (+2.7%) at episode 2034, saving model...
06-10 20:37:13: New best reward 844.0 (+49.9%) at episode 2744, saving model...
06-10 20:38:04: New best reward 934.0 (+10.7%) at episode 3819, saving model...
06-10 20:38:22: New best reward 1011.0 (+8.2%) at episode 4081, saving model...
06-10 20:38:41: New best reward 22515.0 (+2127.0%) at episode 4273, saving model...
06-10 20:41:40: New best reward 100000.0 (+344.1%) at episode 5890, saving model...
