06-11 09:47:19: Training starting...
06-11 09:47:20: New best reward -8.1 (-100.0%) at episode 0, saving model...
06-11 09:47:20: New best reward -6.3 (-22.2%) at episode 6, saving model...
06-11 09:47:20: New best reward -5.7 (-9.5%) at episode 10, saving model...
06-11 09:47:20: New best reward -5.1 (-10.5%) at episode 34, saving model...
06-11 09:47:20: New best reward -4.5 (-11.8%) at episode 50, saving model...
06-11 09:47:24: New best reward -3.9 (-13.3%) at episode 598, saving model...
06-11 09:47:24: New best reward -3.3 (-15.4%) at episode 642, saving model...
06-11 09:47:25: New best reward -2.1 (-36.4%) at episode 732, saving model...
06-11 09:47:26: New best reward -1.5 (-28.6%) at episode 866, saving model...
06-11 09:47:28: New best reward -0.9 (-40.0%) at episode 1276, saving model...
06-11 09:47:30: New best reward 0.3 (-133.3%) at episode 1478, saving model...
06-11 09:47:38: New best reward 3.3 (+1000.0%) at episode 2693, saving model...
06-11 09:47:45: New best reward 3.9 (+18.2%) at episode 3654, saving model...
06-11 09:48:15: New best reward 4.0 (+2.6%) at episode 7299, saving model...
06-11 09:48:27: New best reward 4.2 (+5.0%) at episode 8668, saving model...
06-11 09:48:46: New best reward 6.2 (+47.6%) at episode 10661, saving model...
06-11 09:48:50: New best reward 8.6 (+38.7%) at episode 11081, saving model...
06-11 09:53:21: New best reward 8.8 (+2.3%) at episode 34632, saving model...
06-11 09:53:23: New best reward 10.7 (+21.6%) at episode 34747, saving model...
06-11 09:53:47: New best reward 10.8 (+0.9%) at episode 36511, saving model...
06-11 09:53:59: New best reward 11.0 (+1.9%) at episode 37375, saving model...
06-11 09:54:07: New best reward 12.9 (+17.3%) at episode 38033, saving model...
06-11 09:55:31: New best reward 17.9 (+38.8%) at episode 43548, saving model...
06-11 09:56:48: New best reward 18.2 (+1.7%) at episode 48690, saving model...
06-11 09:56:48: New best reward 18.9 (+3.8%) at episode 48708, saving model...
06-11 09:56:55: New best reward 20.4 (+7.9%) at episode 49151, saving model...
06-11 09:57:49: New best reward 22.4 (+9.8%) at episode 52601, saving model...
06-11 09:58:39: New best reward 23.6 (+5.4%) at episode 55665, saving model...
06-11 09:58:59: New best reward 29.1 (+23.3%) at episode 56860, saving model...
06-11 09:59:49: New best reward 39.2 (+34.7%) at episode 59832, saving model...
06-11 10:10:17: New best reward 43.8 (+11.7%) at episode 94459, saving model...
06-11 10:11:06: New best reward 48.6 (+11.0%) at episode 96993, saving model...
06-11 10:15:18: New best reward 57.3 (+17.9%) at episode 109406, saving model...
06-11 10:23:49: New best reward 59.9 (+4.5%) at episode 132023, saving model...
06-11 10:24:27: New best reward 65.6 (+9.5%) at episode 133531, saving model...
06-11 10:24:54: New best reward 68.9 (+5.0%) at episode 134578, saving model...
06-11 10:28:13: New best reward 74.7 (+8.4%) at episode 142702, saving model...
06-11 10:47:32: New best reward 76.3 (+2.1%) at episode 185663, saving model...
06-11 10:49:59: New best reward 78.4 (+2.8%) at episode 189780, saving model...
06-11 11:15:41: New best reward 82.9 (+5.7%) at episode 235580, saving model...
06-11 11:53:46: New best reward 83.3 (+0.5%) at episode 297523, saving model...
06-11 12:00:30: New best reward 113.1 (+35.8%) at episode 308585, saving model...
